run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
272,200,3,85.0,110.2,132.1,1.52,1e-07,0.2,80,0.35,0.40,True,130.1,3,0.0026589232518607567,0.05156474815085163,0.7305954287754198,
225,200,3,151.1,164.9,216.6,1.72,1e-05,0.2,25,0.60,0.58,False,900.0,0,303.58710998503994,17.423751317814425,19.50774667916512,vittima non trovata entro 15 minuti
221,200,3,108.4,57.2,115.8,2.74,1e-05,0.2,25,center,center,False,900.0,1,2.0194839173657902e-28,1.4210854715202004e-14,9.70606984882753,vittima non trovata entro 15 minuti
229,200,3,98.9,64.5,111.2,2.69,1e-05,0.2,50,0.60,0.45,False,900.0,0,144.45885875019985,12.019103907954197,8.185727496322633,vittima non trovata entro 15 minuti
224,200,3,50.5,80.8,88.4,3.49,1e-05,0.2,25,0.60,0.45,False,900.0,2,2.524354896707238e-28,1.5888218580782548e-14,4.522304442843039,vittima non trovata entro 15 minuti
226,200,3,67.4,73.4,92.6,2.53,1e-05,0.2,50,center,center,False,900.0,0,2.0194839173657902e-28,1.4210854715202004e-14,9.386687047275531,vittima non trovata entro 15 minuti
233,200,3,137.4,24.7,133.9,1.38,1e-05,0.2,80,0.45,0.55,False,900.0,0,8.141044541880842e-28,2.8532515735351556e-14,27.39757428790245,vittima non trovata entro 15 minuti
276,200,3,52.9,27.3,52.8,3.14,1e-07,0.2,120,center,center,True,110.2,3,0.0023685965013529103,0.048668228870104885,0.10241995816104316,
230,200,3,35.1,71.4,72.9,3.14,1e-05,0.2,50,0.60,0.58,False,900.0,2,1.262177448353619e-28,1.1234667099445444e-14,9.091092940712395,vittima non trovata entro 15 minuti
235,200,3,157.9,130.1,197.6,3.85,1e-05,0.2,80,0.60,0.58,False,900.0,1,25.407459837524158,5.040581299564978,6.803802984831878,vittima non trovata entro 15 minuti
282,200,3,57.3,68.3,82.1,4.7,1e-06,0.05,25,0.35,0.40,True,110.60000000000001,3,0.0024837168822304306,0.04983690281538802,0.15653747159069117,
231,200,3,49.8,43.6,59.1,3.9,1e-05,0.2,80,center,center,False,900.0,0,5.048709793414476e-29,7.105427357601002e-15,7.0550913257726435,vittima non trovata entro 15 minuti
287,200,3,73.8,125.5,138.8,2.51,1e-06,0.05,50,0.35,0.40,True,145.1,3,0.0030105815669446566,0.054868766770765465,0.3408619139134434,
290,200,3,35.8,137.5,136.0,3.63,1e-06,0.05,50,0.60,0.58,True,132.3,3,0.0013065305320044357,0.03614596148955559,3.0952779298086344,
239,200,3,106.0,106.4,143.1,2.13,1e-05,0.2,120,0.60,0.45,False,900.0,2,4.0389678347315804e-28,2.0097183471152322e-14,11.198976780856398,vittima non trovata entro 15 minuti
293,200,3,109.2,43.8,111.2,1.68,1e-06,0.05,80,0.45,0.55,True,153.70000000000002,3,0.0014251450406875025,0.03775109323830904,0.7487412653939772,
292,200,3,94.5,34.7,94.3,3.82,1e-06,0.05,80,0.35,0.40,True,152.9,3,0.00645050586118965,0.08031504131350273,2.907981655758846,
283,200,3,154.9,138.8,200.9,4.96,1e-06,0.05,25,0.45,0.55,True,265.5,3,0.005842125161717596,0.0764337959394769,0.8484858003163892,
284,200,3,133.1,93.5,155.7,4.29,1e-06,0.05,25,0.60,0.45,True,271.90000000000003,3,0.023044604410929804,0.15180449404062385,0.66188838893735,
240,200,3,165.2,133.5,205.4,4.45,1e-05,0.2,120,0.60,0.58,False,900.0,2,0.0,0.0,8.247323902447219,vittima non trovata entro 15 minuti
294,200,3,105.4,169.2,192.4,3.78,1e-06,0.05,80,0.60,0.45,True,176.60000000000002,3,0.0021933417902415156,0.046833127060249946,1.1035516880452232,
296,200,3,61.6,54.5,75.2,1.64,1e-06,0.05,120,center,center,True,116.7,3,0.0023240232597735626,0.04820812441667444,2.0875000597706546,
295,200,3,58.1,44.9,66.4,4.21,1e-06,0.05,80,0.60,0.58,True,122.7,3,0.0035951647738137983,0.05995969290960218,2.3166306867024393,
291,200,3,135.4,76.5,148.7,4.16,1e-06,0.05,80,center,center,True,272.40000000000003,3,0.02217945213720951,0.14892767418183067,0.5459987325591825,
297,200,3,50.1,65.6,75.5,4.73,1e-06,0.05,120,0.35,0.40,True,114.2,3,0.0033429374261844647,0.057818140978281765,0.7134136597156053,
289,200,3,165.3,110.8,192.1,3.65,1e-06,0.05,50,0.60,0.45,True,338.8,3,0.0024253995825194797,0.04924834598765201,0.670200783565719,
286,200,3,113.4,143.6,175.9,2.14,1e-06,0.05,50,center,center,True,348.70000000000005,3,0.0013079021424647428,0.03616492973122916,0.32547265751443555,
243,200,3,83.0,20.6,79.5,1.0,1e-07,0.05,25,0.45,0.55,False,900.0,2,7.5692837126348405,2.7512331258246436,7.980072008898753,vittima non trovata entro 15 minuti
300,200,3,128.3,124.9,172.0,1.23,1e-06,0.05,120,0.60,0.58,True,159.70000000000002,3,0.024390173686430365,0.15617353708753082,2.8253122390353065,
246,200,3,94.1,41.7,96.4,3.2,1e-07,0.05,50,center,center,False,900.0,2,0.114943978343985,0.3390338896688427,1.7690031920106044,vittima non trovata entro 15 minuti
299,200,3,131.7,91.8,153.5,1.09,1e-06,0.05,120,0.60,0.45,True,237.4,3,0.006491103800628874,0.08056738670596729,2.5404076698744773,
298,200,3,136.6,44.5,137.4,4.38,1e-06,0.05,120,0.45,0.55,True,279.3,3,0.0017059278122371804,0.04130287898242906,1.349865092707329,
311,200,3,165.5,73.0,174.3,2.2,1e-06,0.2,80,center,center,True,203.9,3,0.0036337502089960477,0.06028059562575711,2.5095040038107,
314,200,3,50.1,34.0,53.6,1.96,1e-06,0.2,80,0.60,0.45,True,103.10000000000001,3,0.001514151193756566,0.03891209572557826,5.289114479021922,
281,200,3,170.4,149.4,219.6,1.31,1e-06,0.05,25,center,center,True,617.9000000000001,3,0.0014113410051886967,0.03756781874408863,2.8338126675243633,
263,200,3,108.6,158.4,185.1,3.24,1e-07,0.2,25,0.45,0.55,False,900.0,1,480.5720566052409,21.9219537588519,17.977440012876205,vittima non trovata entro 15 minuti
262,200,3,142.8,55.8,146.9,2.97,1e-07,0.2,25,0.35,0.40,False,900.0,0,35.513771362753914,5.959343198940124,22.980354282225605,vittima non trovata entro 15 minuti
261,200,3,96.4,53.7,103.6,4.82,1e-07,0.2,25,center,center,False,900.0,2,0.0,0.0,0.8196996236627546,vittima non trovata entro 15 minuti
315,200,3,34.7,166.5,164.2,4.29,1e-06,0.2,80,0.60,0.58,True,137.9,3,0.0023002011167840104,0.047960411974711084,3.178778414176725,
270,200,3,166.8,30.3,163.8,1.11,1e-07,0.2,50,0.60,0.58,False,900.0,1,8.077935669463161e-28,2.842170943040401e-14,7.545113578847192,vittima non trovata entro 15 minuti
