run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
2978,200,4,109.3,89.4,134.2,3.2,1e-06,120,0.45,0.55,True,132.70000000000002,3,0.004818705413653375,0.06941689573622098,0.09591818119933533,
2976,200,4,135.8,106.8,165.8,4.68,1e-06,120,center,center,True,155.4,3,0.012900161762449824,0.11357887903325083,0.21872600994158087,
2980,200,4,125.5,70.5,137.2,1.26,1e-06,120,0.60,0.58,True,146.4,3,0.03446809930644547,0.18565586256955494,3.708216530887213,
2967,200,4,166.4,126.7,202.2,2.86,1e-06,50,0.35,0.40,True,215.4,3,0.005315293266537436,0.07290605781783456,1.0703098562644329,
2981,200,4,111.0,148.3,178.3,4.42,1e-05,25,center,center,True,134.5,3,0.001248087799660941,0.03532828611270211,3.8949933948560775,
2988,200,4,37.0,114.4,114.0,1.53,1e-05,50,0.45,0.55,True,101.5,3,0.0038657834986138085,0.062175425198496295,1.0075061919413837,
2983,200,4,31.4,158.4,155.7,2.32,1e-05,25,0.45,0.55,True,130.20000000000002,3,0.003658820353151536,0.0604881835828415,0.5902098727322548,
2994,200,4,39.5,75.3,78.3,2.07,1e-05,80,0.60,0.45,True,90.10000000000001,3,0.0048808831627743555,0.06986331771948964,0.13341954304289522,
2989,200,4,53.0,131.7,135.5,4.55,1e-05,50,0.60,0.45,True,113.7,3,0.027898958214952807,0.16702981235382144,0.5787344096828834,
2997,200,4,41.0,133.9,133.9,1.91,1e-05,120,0.35,0.40,True,106.4,3,0.0019845778020839994,0.04454860045033962,0.22558758484787253,
2946,200,4,167.0,83.0,179.8,2.07,1e-07,50,center,center,True,407.70000000000005,3,21.48453959624493,4.635141809723294,3.4063646346536074,
2986,200,4,100.9,61.0,111.0,2.31,1e-05,50,center,center,True,149.1,3,0.0034590768879753826,0.05881391746836273,0.030078194417242313,
2923,200,4,124.0,81.8,141.7,3.7,1e-05,25,0.45,0.55,True,500.3,3,0.000986430975257931,0.031407498710625315,4.925558929326768,
2999,200,4,53.0,134.8,138.4,2.97,1e-05,120,0.60,0.45,True,112.2,3,0.002885770296618635,0.05371936612264366,0.1943608197473631,
2985,200,4,107.1,126.3,158.6,3.7,1e-05,25,0.60,0.58,True,172.3,3,0.002509464124856597,0.05009455184804628,0.5263741483453722,
3000,200,4,79.5,150.5,163.5,4.6,1e-05,120,0.60,0.58,True,127.80000000000001,3,0.0016007200816295511,0.04000900000786762,0.29941688608108036,
2984,200,4,135.9,33.9,134.1,1.46,1e-05,25,0.60,0.45,True,205.8,3,0.035180956574795676,0.18756587262824673,1.7420199523578124,
2991,200,4,157.1,83.3,171.0,3.9,1e-05,80,center,center,True,189.60000000000002,3,0.022564628215646407,0.15021527291073436,1.9881337665568186,
2866,200,4,23.6,51.5,50.0,4.4,1e-05,50,center,center,False,900.0,2,0.0,0.0,20.120585152770797,vittima non trovata entro 15 minuti
2996,200,4,141.8,53.9,145.3,4.91,1e-05,120,center,center,False,185.60000000000002,3,0.024363175754700345,0.15608707747504386,16.032789548862553,vittima non trovata entro 15 minuti
2987,200,4,145.3,83.0,160.6,2.01,1e-05,50,0.35,0.40,True,204.3,3,0.02874046824380102,0.16953013963245891,1.2953521457658563,
2993,200,4,137.0,168.4,210.0,4.11,1e-05,80,0.45,0.55,True,176.20000000000002,3,0.0075451484828941056,0.08686281415481602,0.7445803419482947,
2995,200,4,134.7,113.2,168.9,3.25,1e-05,80,0.60,0.58,True,189.10000000000002,3,0.0005429693525195842,0.023301702781547622,0.9826526076824728,
2990,200,4,166.2,47.6,166.7,3.75,1e-05,50,0.60,0.58,True,224.10000000000002,3,0.009347125129191013,0.09668053128314415,0.7958808808632675,
3004,200,5,51.2,67.1,77.3,2.7,1e-07,25,0.60,0.45,True,104.7,3,0.005175322173195204,0.071939712073341,0.5818599190134498,
2998,200,4,134.9,88.1,154.3,2.77,1e-05,120,0.45,0.55,True,214.20000000000002,3,0.003818778230901771,0.06179626389112671,0.2744567599889561,
3003,200,5,112.6,81.1,131.8,2.1,1e-07,25,0.45,0.55,True,133.4,3,0.0023702308088631423,0.048685016266436044,0.30775322777995245,
3001,200,5,28.7,147.0,143.9,3.75,1e-07,25,center,center,True,137.70000000000002,3,0.0038452931053513852,0.06201042739210386,3.1803784660039005,
2992,200,4,155.0,71.8,164.2,4.68,1e-05,80,0.35,0.40,True,235.5,3,0.003035366197858916,0.05509415756556149,1.6229213469419599,
3008,200,5,79.1,42.1,82.9,1.58,1e-07,50,0.45,0.55,True,120.2,3,0.0003327135728908445,0.018240437848112214,0.240919826459768,
3007,200,5,48.5,134.9,137.0,1.68,1e-07,50,0.35,0.40,True,133.70000000000002,3,0.056443205640427256,0.23757778860917797,1.6243801922337668,
3010,200,5,49.9,133.8,136.3,1.79,1e-07,50,0.60,0.58,True,131.8,3,0.0076536905661150345,0.08748537344102175,0.11903298836852845,
3009,200,5,137.8,149.0,195.9,2.49,1e-07,50,0.60,0.45,True,149.6,3,0.010522689695124253,0.10258016228844763,4.8405249359723355,
3006,200,5,95.8,145.6,167.3,4.22,1e-07,50,center,center,True,154.4,3,0.00299852069702957,0.05475874995860999,2.752861688532544,
2871,200,4,52.4,42.6,60.5,1.58,1e-05,80,center,center,False,900.0,2,8.414516322357459e-29,9.173067274558417e-15,18.342759111705696,vittima non trovata entro 15 minuti
3029,200,5,19.3,21.2,21.6,4.77,1e-06,50,0.60,0.45,True,34.2,3,0.010689683880526293,0.10339092745752063,2.3298409925298134,
3012,200,5,21.2,156.4,152.2,3.58,1e-07,80,0.35,0.40,True,133.1,3,0.03980577616506084,0.19951384955701906,2.7507203471551076,
3005,200,5,106.8,58.6,115.1,2.02,1e-07,25,0.60,0.58,True,180.20000000000002,3,0.001988120749295419,0.04458834768519034,1.3682612260453566,
