run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,n_drones_tracked,pos_variance_m2,pos_std_m,est_error_2d_m,est_error_3d_m,est_depth_m,est_error_depth_m,dcgd_err_final_mean_m,landing_err_mean_m,pf_std_xy_mean_m,note
3095,100,5,44.9,78.9,84.0,1.81,1e-05,0.05,80,0.60,0.58,True,83.2,3,5,0.013904250540373628,0.11791628615409165,0.7233801001145637,0.7234852644106788,1.952,0.138,0.725,0.15,1.601,
3098,100,5,12.1,56.7,52.1,3.88,1e-05,0.05,120,0.45,0.55,True,74.4,3,4,0.00556768124069771,0.07461689648261786,1.9145825923825952,2.8503007855745306,6.413,2.537,1.915,2.602,1.821,
3112,100,5,21.5,1.2,16.9,4.22,1e-05,0.1,80,0.35,0.40,True,17.400000000000002,3,4,0.03258803294693669,0.18052155812239348,5.683368664675997,6.724913160531679,9.772,5.55,5.684,5.555,2.667,
3092,100,5,60.4,62.2,79.6,4.63,1e-05,0.05,80,0.35,0.40,True,105.2,3,5,1.2348943365451925,1.1112579972918946,0.1357464212927669,2.3380615907951046,2.343,2.287,0.965,1.341,1.638,
3099,100,5,80.1,45.2,85.2,1.07,1e-05,0.05,120,0.60,0.45,True,116.9,3,5,0.0177477665820921,0.13322074381301172,0.39850830676295307,0.39852145474423933,0.926,0.147,0.407,1.763,1.658,
3087,100,5,57.2,78.0,89.7,3.15,1e-05,0.05,50,0.35,0.40,True,109.5,3,5,0.007720948805692775,0.08786892969470365,1.0023778673306842,2.276153252712331,5.494,2.346,1.004,5.244,1.658,
3093,100,5,78.6,1.2,73.7,2.39,1e-05,0.05,80,0.45,0.55,True,121.9,3,5,0.007156025805851936,0.08459329645930543,0.3553304508665483,1.8740796394564117,4.12,1.732,0.361,2.207,1.703,
3104,100,5,9.4,82.7,77.8,1.21,1e-05,0.1,25,0.60,0.45,True,86.0,3,5,0.0897640037883015,0.2996064147983175,0.8876792282878142,4.027319372846363,-3.408,4.62,0.891,9.087,1.825,
3097,100,5,93.1,83.7,118.1,3.84,1e-05,0.05,120,0.35,0.40,True,115.2,3,4,0.24833107029548304,0.49832827563312426,1.6723318232680142,3.551324185992258,6.974,3.133,1.683,2.789,2.457,
3102,100,5,93.9,63.8,106.6,4.05,1e-05,0.1,25,0.35,0.40,True,119.80000000000001,3,4,0.0022761592802201225,0.04770911108184812,1.216253216065813,2.6181245974110734,6.369,2.318,1.217,7.631,1.654,
3094,100,5,96.9,46.5,100.8,1.96,1e-05,0.05,80,0.60,0.45,True,126.10000000000001,3,4,0.14134511447995485,0.37595892658634245,0.005337284746503441,1.214500821606811,3.173,1.214,0.325,2.643,1.754,
2903,100,5,20.6,97.4,93.8,4.78,1e-07,0.1,25,0.45,0.55,False,900.0,0,5,52.021732119736335,7.212609244908276,14.495685274113526,14.970241213130553,-7.445,12.228,14.608,371.749,3.594,vittima non trovata entro 15 minuti
3103,100,5,81.9,97.2,120.0,1.84,1e-05,0.1,25,0.45,0.55,True,106.0,3,5,0.02009757341005848,0.1417659106063883,1.0018083324762908,3.339061030740298,-1.35,3.185,1.005,6.175,1.977,
