run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
4939,200,5,142.5,95.0,3.0,1e-08,120,0.60,0.45,True,142.8,3,24.144480794220136,4.913703368562263,11.782289437915239,
4937,200,5,142.5,95.0,3.0,1e-08,120,0.35,0.45,True,153.1,3,6.716305246480692,2.5915835403244656,7.121710614456301,
4926,200,5,142.5,95.0,3.0,1e-08,50,center,center,True,207.4,3,160.3718635049433,12.663801305490516,43.490688869712656,
4929,200,5,142.5,95.0,3.0,1e-08,50,0.60,0.45,True,201.20000000000002,3,10.731833594795892,3.2759477399366266,18.67291564525893,
4930,200,5,142.5,95.0,3.0,1e-08,50,0.60,0.58,True,191.20000000000002,3,4.463984281088235,2.112814303503324,14.099221911610677,
4927,200,5,142.5,95.0,3.0,1e-08,50,0.35,0.45,True,201.20000000000002,3,49.58439309953711,7.041618642012439,42.30699527059359,
4938,200,5,142.5,95.0,3.0,1e-08,120,0.45,0.55,True,160.3,3,9.679991539774738,3.111268477610818,8.898130565377693,
4942,200,5,142.5,95.0,3.0,1e-07,25,0.35,0.45,True,159.60000000000002,3,52.15983995674509,7.222176954128519,26.36513041807964,
4951,200,5,142.5,95.0,3.0,1e-07,80,center,center,True,125.5,3,0.002959710549257415,0.05440322186467834,22.907265764582778,
4952,200,5,142.5,95.0,3.0,1e-07,80,0.35,0.45,True,122.7,3,0.004990914474404577,0.07064640453982479,17.354611305257926,
4935,200,5,142.5,95.0,3.0,1e-08,80,0.60,0.58,True,191.9,3,7.36549035394999,2.713943690268829,6.63634953658473,
4936,200,5,142.5,95.0,3.0,1e-08,120,center,center,True,196.70000000000002,3,129.567603863606,11.382776632421722,40.90973768153934,
4941,200,5,142.5,95.0,3.0,1e-07,25,center,center,True,185.4,3,134.9822610658716,11.618186651361373,27.2280449969071,
4948,200,5,142.5,95.0,3.0,1e-07,50,0.45,0.55,True,152.8,3,0.00024281199298626624,0.0155824257734881,14.089005229610015,
4947,200,5,142.5,95.0,3.0,1e-07,50,0.35,0.45,True,159.70000000000002,3,8.118457113225266e-05,0.009010248117130441,25.09596609858098,
4949,200,5,142.5,95.0,3.0,1e-07,50,0.60,0.45,True,154.10000000000002,3,110.07193017505642,10.491517057845181,33.91608539182228,
4950,200,5,142.5,95.0,3.0,1e-07,50,0.60,0.58,True,154.70000000000002,3,0.0055116783172599205,0.07424067831896419,28.473692105508217,
4954,200,5,142.5,95.0,3.0,1e-07,80,0.60,0.45,True,150.1,3,78.6230350842921,8.86696312636362,33.520657314710085,
4955,200,5,142.5,95.0,3.0,1e-07,80,0.60,0.58,True,124.7,3,0.005573491327187813,0.07465581911135805,25.318898788956126,
4953,200,5,142.5,95.0,3.0,1e-07,80,0.45,0.55,True,168.0,3,79.64313973188098,8.924300517793032,25.585362825363497,
4956,200,5,142.5,95.0,3.0,1e-07,120,center,center,True,136.5,3,290.29239183986186,17.037969123104485,38.36592687822378,
4959,200,5,142.5,95.0,3.0,1e-07,120,0.60,0.45,True,140.1,3,0.005522829483844909,0.07431574183068422,28.06318432622744,
4957,200,5,142.5,95.0,3.0,1e-07,120,0.35,0.45,True,145.6,3,139.8183456523618,11.824480777284126,34.88966266146902,
4944,200,5,142.5,95.0,3.0,1e-07,25,0.60,0.45,True,242.3,3,117.92845719163854,10.859486967239222,25.547924145344304,
4958,200,5,142.5,95.0,3.0,1e-07,120,0.45,0.55,True,147.0,3,621.3987648134134,24.927871245122667,41.76971514332896,
4960,200,5,142.5,95.0,3.0,1e-07,120,0.60,0.58,True,144.5,3,348.3484548174441,18.66409533884362,37.90998771444799,
4945,200,5,142.5,95.0,3.0,1e-07,25,0.60,0.58,True,245.4,3,76.10900279467829,8.724047386086248,33.495020180366346,
4943,200,5,142.5,95.0,3.0,1e-07,25,0.45,0.55,True,272.3,3,593.2149265575981,24.356003911922787,34.910173058447526,
4966,200,5,142.5,95.0,3.0,1e-06,50,center,center,True,138.5,3,3.755240658715761e-05,0.006128001842946655,23.285220961963294,
4967,200,5,142.5,95.0,3.0,1e-06,50,0.35,0.45,True,145.4,3,0.00012633874856605765,0.011240051092680035,25.440609816996158,
4971,200,5,142.5,95.0,3.0,1e-06,80,center,center,True,143.0,3,0.0013678431872166156,0.03698436409101305,17.904879215001678,
4972,200,5,142.5,95.0,3.0,1e-06,80,0.35,0.45,True,145.3,3,0.00032052295495702373,0.017903154888371596,23.103511359272602,
4969,200,5,142.5,95.0,3.0,1e-06,50,0.60,0.45,True,143.6,3,9.849182798966479e-05,0.009924304912167139,26.100568773778843,
4974,200,5,142.5,95.0,3.0,1e-06,80,0.60,0.45,True,142.3,3,1.5608889623953873e-05,0.0039508087303682365,24.161744729066125,
4976,200,5,142.5,95.0,3.0,1e-06,120,center,center,True,131.70000000000002,3,1.0421843958032061e-05,0.0032282880847334648,25.065896367680175,
