run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
2569,100,5,14.9,47.6,43.7,3.65,1e-06,0.05,50,0.60,0.45,True,80.30000000000001,3,0.058729664152040936,0.2423420395887617,1.085315432379036,
2556,100,5,80.7,39.9,83.3,2.97,1e-07,0.1,120,center,center,True,125.5,3,0.05583473794663241,0.2362937535074349,0.9669849281265276,
2560,100,5,62.0,33.3,63.6,4.91,1e-07,0.1,120,0.60,0.58,True,108.0,3,0.03228440389012762,0.17967861277883804,0.7377371854397216,
2342,100,4,68.6,12.7,64.1,3.75,1e-06,0.1,25,0.35,0.40,False,900.0,0,7.138682718308585,2.6718313416659716,28.54795646817165,vittima non trovata entro 15 minuti
2561,100,5,70.5,54.0,81.8,2.17,1e-06,0.05,25,center,center,True,111.30000000000001,3,0.01615783905670892,0.12711348888575483,1.1811241047893564,
2567,100,5,43.4,58.7,66.1,4.1,1e-06,0.05,50,0.35,0.40,True,101.10000000000001,3,0.0017803816718285452,0.04219456922198099,2.1227740341175907,
2570,100,5,65.7,14.4,61.4,2.33,1e-06,0.05,50,0.60,0.58,False,104.80000000000001,3,0.021160220821050568,0.1454655313847599,10.03061853165115,vittima non trovata entro 15 minuti
2564,100,5,71.5,55.2,83.3,3.87,1e-06,0.05,25,0.60,0.45,True,118.2,3,0.0038554729410161916,0.06209245478330029,1.088940840570372,
2572,100,5,53.7,45.8,63.5,4.2,1e-06,0.05,80,0.35,0.40,True,101.5,3,0.02275130295408801,0.1508353504788848,0.9789321609180254,
2574,100,5,57.6,32.4,59.3,2.2,1e-06,0.05,80,0.60,0.45,True,102.4,3,0.04515038717455741,0.2124862046688147,1.6151658817981778,
2575,100,5,64.6,34.2,66.4,3.64,1e-06,0.05,80,0.60,0.58,True,107.80000000000001,3,0.054713734543151586,0.2339096717605999,0.7564107932655786,
2568,100,5,60.6,80.9,94.1,1.31,1e-06,0.05,50,0.45,0.55,True,112.0,3,0.06531300321416518,0.25556408827173893,0.9538983558471773,
2587,100,5,27.7,13.8,24.4,4.93,1e-06,0.1,50,0.35,0.40,True,48.300000000000004,3,0.052597320688082025,0.22934105757164813,1.4211996575451766,
2563,100,5,55.6,66.0,79.2,1.9,1e-06,0.05,25,0.45,0.55,True,122.4,3,0.022127275680689798,0.1487523972266995,0.2334544864865094,
2571,100,5,61.5,76.4,91.1,2.19,1e-06,0.05,80,center,center,True,112.4,3,0.05485738727072367,0.23421653927663535,0.7808388175848254,
2579,100,5,74.5,51.7,83.8,3.04,1e-06,0.05,120,0.60,0.45,True,112.7,3,0.023149133190332433,0.15214839200705485,1.4614108940754535,
2580,100,5,65.5,61.0,82.5,4.14,1e-06,0.05,120,0.60,0.58,True,110.9,3,0.05011383650129958,0.2238611991866826,1.189590526649501,
2583,100,5,49.1,45.7,60.0,3.03,1e-06,0.1,25,0.45,0.55,True,99.30000000000001,3,0.03673862610379621,0.1916732274048627,0.7029411005945597,
2578,100,5,68.6,70.7,91.5,3.29,1e-06,0.05,120,0.45,0.55,True,117.30000000000001,3,0.022511460190921154,0.15003819577334684,1.1583495523203715,
2584,100,5,61.1,47.2,70.2,2.65,1e-06,0.1,25,0.60,0.45,True,111.2,3,0.041289782240128636,0.20319887361924188,0.41860020076890975,
2585,100,5,34.8,12.2,30.7,3.94,1e-06,0.1,25,0.60,0.58,True,82.5,3,0.01666750886257703,0.12910270664311044,1.9602399927355363,
2582,100,5,52.1,74.4,83.8,1.83,1e-06,0.1,25,0.35,0.40,True,134.0,3,0.03938801900577752,0.19846415042968724,1.2790752050720535,
2591,100,5,37.6,38.0,46.4,4.52,1e-06,0.1,80,center,center,True,81.7,3,0.01498030672722106,0.12239406328421759,2.8096539912637626,
2595,100,5,27.5,32.5,35.5,3.64,1e-06,0.1,80,0.60,0.58,True,71.3,3,0.025418410550517478,0.15943152307657818,2.4830103473453238,
2592,100,5,30.3,36.7,40.6,3.83,1e-06,0.1,80,0.35,0.40,True,80.2,3,0.06994576485069563,0.2644726164477064,1.1586821904403553,
2601,100,5,53.8,41.1,60.7,1.87,1e-05,0.05,25,center,center,True,68.0,3,0.02345247904176433,0.1531420224555113,1.2238509512571094,
2599,100,5,13.7,47.2,43.1,1.11,1e-06,0.1,120,0.60,0.45,True,75.0,3,0.031843907162439705,0.17844861210566954,0.803806305725718,
2588,100,5,57.3,26.3,56.4,1.5,1e-06,0.1,50,0.45,0.55,True,105.60000000000001,3,0.04396749335057089,0.20968427063223147,0.44073220085135756,
2589,100,5,67.7,26.0,66.1,3.51,1e-06,0.1,50,0.60,0.45,True,106.60000000000001,3,0.028119016148659318,0.16768725696563624,4.0682471053792115,
2607,100,5,36.6,37.3,45.2,1.52,1e-05,0.05,50,0.35,0.40,True,62.900000000000006,3,0.054421131542667506,0.23328337176632952,0.9815105993691294,
2586,100,5,68.0,25.5,66.2,4.67,1e-06,0.1,50,center,center,True,115.4,3,0.053251687994161044,0.2307632726283822,0.39765432578419385,
2596,100,5,33.8,35.3,41.8,1.88,1e-06,0.1,120,center,center,True,89.5,3,0.02039840789950628,0.14282299499557582,1.1922829326182767,
2590,100,5,44.4,76.3,81.4,1.69,1e-06,0.1,50,0.60,0.58,True,106.2,3,0.006597654923879067,0.08122594981826355,1.4526622045575779,
2594,100,5,37.9,74.0,76.4,4.43,1e-06,0.1,80,0.60,0.45,True,97.9,3,0.04264968368026034,0.2065179984414442,0.9277023324761601,
2602,100,5,40.3,72.3,76.0,1.7,1e-05,0.05,25,0.35,0.40,True,84.10000000000001,3,0.022562111652959287,0.15020689615646576,1.798404637967124,
2610,100,5,38.6,54.8,60.1,1.23,1e-05,0.05,50,0.60,0.58,True,65.10000000000001,3,0.04793809351720732,0.21894769584813475,1.0432226639136783,
2603,100,5,31.0,70.8,70.8,4.74,1e-05,0.05,25,0.45,0.55,True,81.0,3,0.04070241110767565,0.20174838563833825,1.7852622238956686,
2613,100,5,43.8,26.2,44.2,4.78,1e-05,0.05,80,0.45,0.55,True,67.9,3,0.012025590518015664,0.10966125349463987,0.8872301449313689,
2604,100,5,70.8,50.7,80.2,4.72,1e-05,0.05,25,0.60,0.45,True,94.2,3,0.031966859162357475,0.1787927827468365,0.4847271357033264,
2605,100,5,56.3,55.7,72.2,3.42,1e-05,0.05,25,0.60,0.58,True,89.30000000000001,3,0.0064039954727435205,0.08002496780845039,0.9858871187279806,
2621,100,5,21.2,12.2,17.7,4.3,1e-05,0.1,25,center,center,True,20.0,3,0.00695427286698518,0.08339228301818569,3.172106180011107,
2598,100,5,48.9,40.0,56.1,3.55,1e-06,0.1,120,0.45,0.55,True,96.9,3,0.05870668055005314,0.24229461518996484,0.2618401353310926,
2612,100,5,25.8,74.4,72.5,1.11,1e-05,0.05,80,0.35,0.40,True,72.9,3,0.02324649776701229,0.1524680221128755,1.2447068446051748,
2606,100,5,44.8,73.4,79.2,1.06,1e-05,0.05,50,center,center,True,90.4,3,0.05322034819266439,0.23069535797814483,0.5366116069636164,
2600,100,5,66.9,36.9,69.6,4.39,1e-06,0.1,120,0.60,0.58,True,102.5,3,0.018249169962980278,0.13508948872129273,0.47003457970976575,
2611,100,5,61.5,48.2,71.1,4.96,1e-05,0.05,80,center,center,True,84.10000000000001,3,0.055189806247980935,0.23492510774283137,0.3711093676003304,
2593,100,5,73.2,55.0,84.5,3.32,1e-06,0.1,80,0.45,0.55,True,124.80000000000001,3,0.005493153074530812,0.07411580853320573,0.9201782801962507,
2608,100,5,70.3,73.6,94.7,1.62,1e-05,0.05,50,0.45,0.55,True,96.0,3,0.04245543184928744,0.20604715928468278,1.2378961386768137,
2619,100,5,35.0,28.8,38.3,3.97,1e-05,0.05,120,0.60,0.45,True,47.6,3,0.01497815546147072,0.12238527469214064,1.6989674615227086,
2614,100,5,34.8,50.5,54.3,3.78,1e-05,0.05,80,0.60,0.45,True,63.400000000000006,3,0.04302364763057917,0.20742142519657697,1.1315935172163603,
2597,100,5,70.5,68.2,91.0,1.46,1e-06,0.1,120,0.35,0.40,True,120.5,3,0.04249303540828393,0.20613838897275766,0.7641497647170648,
2622,100,5,21.4,14.9,19.2,2.42,1e-05,0.1,25,0.35,0.40,True,35.0,3,0.05022805449180792,0.22411616294191708,0.7179092248752134,
2624,100,5,32.3,16.6,29.7,2.13,1e-05,0.1,25,0.60,0.45,True,37.5,3,0.0023771350889368143,0.048755872353356725,2.5908974666627254,
2618,100,5,46.8,32.9,50.3,2.94,1e-05,0.05,120,0.45,0.55,True,62.0,3,0.007798012524275466,0.08830635608083637,0.6237770001814776,
2609,100,5,79.5,49.2,86.6,4.82,1e-05,0.05,50,0.60,0.45,True,114.4,3,0.032233692062889646,0.17953743916768347,1.349491192681797,
2616,100,5,45.2,26.7,45.7,1.67,1e-05,0.05,120,center,center,True,71.9,3,0.034056492130217914,0.1845440113637338,0.7361025363630188,
2617,100,5,26.2,77.1,75.1,3.49,1e-05,0.05,120,0.35,0.40,True,72.10000000000001,3,0.0388957829702455,0.1972201383486116,1.3628017421087772,
2620,100,5,55.9,52.0,69.2,2.25,1e-05,0.05,120,0.60,0.58,True,73.2,3,0.027013402711439514,0.16435754534380073,0.7995941476311046,
2630,100,5,15.8,38.4,35.1,2.55,1e-05,0.1,50,0.60,0.58,True,55.1,3,0.05003725008801022,0.2236900759712201,1.1821789640757454,
