run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note,noise_detect_factor
951,100,3,34.4,16.6,,3.0,1e-06,80,center,center,True,58.5,3,2.0747676434028788e-07,0.000455496173793247,4.0734413695837794,,100.0
949,100,3,44.1,53.4,,3.0,1e-06,50,0.60,0.45,True,65.2,3,0.0014659668851712579,0.038287946996035944,0.08019142577847028,,100.0
953,100,3,72.3,22.8,,3.0,1e-06,80,0.45,0.55,True,67.10000000000001,3,nan,nan,10.819296231409965,,100.0
944,100,3,44.3,15.6,,3.0,1e-06,25,0.60,0.45,True,75.7,3,9.620483064169593e-05,0.009808406121368341,9.439138496747832,,100.0
948,100,3,70.4,36.5,,3.0,1e-06,50,0.45,0.55,True,72.7,3,nan,nan,11.747519747340078,,100.0
947,100,3,69.7,30.4,,3.0,1e-06,50,0.35,0.45,True,78.9,3,nan,nan,11.448384644984,,100.0
957,100,3,22.3,28.9,,3.0,1e-06,120,0.35,0.45,True,50.800000000000004,3,0.0019572289745313698,0.04424058063058587,0.21144673190665442,,100.0
954,100,3,76.6,24.7,,3.0,1e-06,80,0.60,0.45,True,69.8,3,nan,nan,14.214759339588323,,100.0
909,100,3,25.3,16.9,,3.0,1e-07,50,0.60,0.45,True,212.8,3,1.862689119698113e-05,0.004315888228045431,31.13595564124267,,100.0
982,100,3,23.1,22.7,,5.0,1e-08,25,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.94466289158157,,100.0
941,100,3,71.2,64.7,,3.0,1e-06,25,center,center,True,97.80000000000001,3,0.0028521930977378758,0.053405927552453165,15.774916409121445,,100.0
950,100,3,46.4,62.9,,3.0,1e-06,50,0.60,0.58,True,81.30000000000001,3,0.0006910345817738539,0.02628753662429886,17.703081113309242,,100.0
986,100,3,36.2,31.5,,5.0,1e-08,50,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,15.786328596399825,,100.0
987,100,3,28.4,22.4,,5.0,1e-08,50,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,27.74079408518421,,100.0
988,100,3,19.2,45.1,,5.0,1e-08,50,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,25.61237459024916,,100.0
990,100,3,47.2,17.7,,5.0,1e-08,50,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,27.156693552132513,,100.0
960,100,3,22.7,60.8,,3.0,1e-06,120,0.60,0.58,True,61.1,3,0.0005805160601282859,0.024093900890646287,0.18107138142793183,,100.0
992,100,3,9.7,38.5,,5.0,1e-08,80,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,35.67580024587407,,100.0
956,100,3,77.9,37.4,,3.0,1e-06,120,center,center,True,86.0,3,nan,nan,17.731914612715176,,100.0
994,100,3,39.0,22.2,,5.0,1e-08,80,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,23.357852084244726,,100.0
959,100,3,65.3,50.7,,3.0,1e-06,120,0.60,0.45,True,94.60000000000001,3,0.002731778660135719,0.052266420004968,13.973372149982813,,100.0
942,100,3,12.1,79.9,,3.0,1e-06,25,0.35,0.45,True,140.3,3,nan,nan,17.758831693204062,,100.0
981,100,3,45.6,44.4,,5.0,1e-08,25,center,center,True,61.5,3,0.0,0.0,0.8611216219431067,,100.0
991,100,3,14.0,53.3,,5.0,1e-08,80,center,center,True,57.800000000000004,3,6.00358106662145e-06,0.0024502206159081777,31.958282266739978,,100.0
952,100,3,74.5,65.6,,3.0,1e-06,80,0.35,0.45,True,160.20000000000002,3,0.0028263379918917527,0.05316331434261556,22.011274644554543,,100.0
714,100,3,66.5,80.9,,5.0,1e-06,80,0.60,0.45,False,900.0,2,0.0021523744438107645,0.04639368969817732,20.129655390910568,vittima non trovata entro 15 minuti,100.0
984,100,3,30.8,60.0,,5.0,1e-08,25,0.60,0.45,True,75.3,3,8.815943535175628e-09,9.389325606866356e-05,20.649278890386086,,100.0
989,100,3,52.8,43.0,,5.0,1e-08,50,0.60,0.45,True,81.0,3,0.0006621379636505215,0.025732041575641088,7.450729270377452,,100.0
958,100,3,71.3,49.3,,3.0,1e-06,120,0.45,0.55,True,159.9,3,0.0025318409387428313,0.05031740194746576,22.18299596745112,,100.0
997,100,3,46.9,42.0,,5.0,1e-08,120,0.35,0.45,True,71.5,3,0.0,0.0,3.563588254426524,,100.0
996,100,3,37.1,53.5,,5.0,1e-08,120,center,center,True,78.2,3,8.944176103060293e-05,0.00945736543814412,11.507013560798788,,100.0
983,100,3,53.3,61.7,,5.0,1e-08,25,0.45,0.55,True,105.9,3,0.004594958406113709,0.06778612251865207,5.087190226339478,,100.0
993,100,3,32.3,73.7,,5.0,1e-08,80,0.45,0.55,True,102.2,3,2.2087625149686925e-10,1.4861906051946004e-05,29.22307386103522,,100.0
985,100,3,66.8,49.4,,5.0,1e-08,25,0.60,0.58,True,110.60000000000001,3,1.1780322851300441e-28,1.0853719570405549e-14,13.292793718754078,,100.0
998,100,3,20.4,69.5,,5.0,1e-08,120,0.45,0.55,True,88.9,3,5.9770907009065244e-12,2.444808929324851e-06,35.47946723273076,,100.0
1000,100,3,20.6,74.8,,5.0,1e-08,120,0.60,0.58,True,102.30000000000001,3,1.8044357105505558e-13,4.2478650055652144e-07,38.71532203460288,,100.0
995,100,3,47.5,77.4,,5.0,1e-08,80,0.60,0.58,True,113.60000000000001,3,4.26624781621654e-15,6.531652023964948e-08,20.616937982719822,,100.0
955,100,3,58.8,60.3,,3.0,1e-06,80,0.60,0.58,True,222.3,3,0.004499012735467735,0.06707468028598969,25.993706910929603,,100.0
999,100,3,65.4,75.6,,5.0,1e-08,120,0.60,0.45,True,131.70000000000002,3,3.5616391911490347e-07,0.0005967947043288031,6.836598661151842,,100.0
1024,100,3,26.5,29.4,,5.0,1e-07,25,0.60,0.45,True,52.800000000000004,3,0.0032971212208323716,0.05742056444195208,2.3654499516943535,,100.0
1026,100,3,80.2,31.3,,5.0,1e-07,50,center,center,True,93.60000000000001,3,0.004604806659335476,0.06785872574205529,22.96676436907983,,100.0
1029,100,3,42.6,31.8,,5.0,1e-07,50,0.60,0.45,True,79.4,3,0.018200783037530633,0.13491027773127826,5.606689593333569,,100.0
1027,100,3,60.9,12.6,,5.0,1e-07,50,0.35,0.45,True,89.0,3,0.025743281285865827,0.16044712925405,18.220119166201933,,100.0
1025,100,3,71.9,60.2,,5.0,1e-07,25,0.60,0.58,True,103.4,3,0.0006249691819442485,0.024999383631286762,0.22355002051252035,,100.0
1031,100,3,21.2,47.0,,5.0,1e-07,80,center,center,True,82.0,3,0.0021315136498006194,0.046168318680677764,12.700058225329693,,100.0
1028,100,3,68.8,63.6,,5.0,1e-07,50,0.45,0.55,True,108.2,3,0.00163126162546509,0.04038887997289712,0.14295046237766879,,100.0
1022,100,3,16.3,80.3,,5.0,1e-07,25,0.35,0.45,True,125.10000000000001,3,0.005490564097822356,0.07409834072246392,7.927027753896778,,100.0
1021,100,3,62.6,32.6,,5.0,1e-07,25,center,center,True,132.0,3,0.002968318487511283,0.05448227682018514,0.5876161007105536,,100.0
1030,100,3,12.6,74.0,,5.0,1e-07,50,0.60,0.58,True,110.80000000000001,3,8.125985525346416e-05,0.009014424843186845,0.43916939882865513,,100.0
1032,100,3,30.7,72.5,,5.0,1e-07,80,0.35,0.45,True,96.2,3,0.0014165918177779751,0.03763763831297037,0.03708626788964247,,100.0
1033,100,3,73.6,54.4,,5.0,1e-07,80,0.45,0.55,True,99.80000000000001,3,0.0006233615803852207,0.02496721010415903,0.20185763726099337,,100.0
1035,100,3,35.7,37.9,,5.0,1e-07,80,0.60,0.58,True,79.7,3,3.0403254731261625e-06,0.0017436529107383047,1.2257577203413548,,100.0
1034,100,3,73.6,43.8,,5.0,1e-07,80,0.60,0.45,True,100.30000000000001,3,0.0006217493778175645,0.024934902803451318,0.16306941906629507,,100.0
1036,100,3,30.7,43.2,,5.0,1e-07,120,center,center,True,82.10000000000001,3,1.640601171976109e-05,0.004050433522446837,5.964834178808542,,100.0
1039,100,3,46.2,19.1,,5.0,1e-07,120,0.60,0.45,True,81.0,3,0.02907039018301498,0.17050041109338998,16.16674720280033,,100.0
1038,100,3,64.5,69.0,,5.0,1e-07,120,0.45,0.55,True,93.7,3,0.009682872765287464,0.09840158924167569,0.38782726726755373,,100.0
1040,100,3,50.2,34.4,,5.0,1e-07,120,0.60,0.58,True,90.0,3,6.52512087083738e-05,0.008077822027525352,0.2766754561490498,,100.0
1065,100,3,10.1,22.0,,5.0,1e-06,25,0.60,0.58,True,27.0,3,0.01568716430952695,0.1252484104071862,6.80500969171743,,100.0
1063,100,3,27.1,34.9,,5.0,1e-06,25,0.45,0.55,True,54.800000000000004,3,0.0004003088563934101,0.02000771991990617,1.201623566151533,,100.0
1078,100,3,17.8,9.8,,5.0,1e-06,120,0.45,0.55,True,29.200000000000003,3,8.21925178912159e-05,0.009066008928476517,5.338403438530384,,100.0
1066,100,3,57.0,24.6,,5.0,1e-06,50,center,center,True,56.6,3,0.0006385784979601384,0.025270110762720024,0.4028240447611419,,100.0
1067,100,3,47.4,21.4,,5.0,1e-06,50,0.35,0.45,True,56.0,3,0.00011134420934733054,0.010551976561162867,0.5977574685266223,,100.0
1069,100,3,29.1,25.3,,5.0,1e-06,50,0.60,0.45,True,55.7,3,0.0014593496200593658,0.038201434790585624,2.8146219692126015,,100.0
1061,100,3,50.9,59.8,,5.0,1e-06,25,center,center,True,85.5,3,0.0022142310778328978,0.047055616857426256,15.902719386448657,,100.0
1070,100,3,32.1,36.3,,5.0,1e-06,50,0.60,0.58,True,65.60000000000001,3,0.003972564565621326,0.06302828385432468,9.07041391571946,,100.0
1074,100,3,33.5,9.5,,5.0,1e-06,80,0.60,0.45,True,64.10000000000001,3,0.002937552095935222,0.054199189070826714,9.303333805627215,,100.0
1068,100,3,55.7,20.2,,5.0,1e-06,50,0.45,0.55,True,75.7,3,0.0002444887982476557,0.015636137574466902,0.3823478952124727,,100.0
1062,100,3,69.9,72.3,,5.0,1e-06,25,0.35,0.45,True,100.10000000000001,3,0.0024348368588135603,0.04934406609526175,16.303613851337484,,100.0
1080,100,3,24.9,51.7,,5.0,1e-06,120,0.60,0.58,True,57.800000000000004,3,0.0021376086415098115,0.04623427993934599,0.1912508655956735,,100.0
1075,100,3,16.5,79.0,,5.0,1e-06,80,0.60,0.58,True,82.9,3,nan,nan,19.650398422943493,,100.0
1102,100,4,13.1,9.4,,1.0,1e-08,25,0.35,0.45,True,0.2,4,1.534219683160508e-05,0.003916911644600256,47.54821494831902,,100.0
1103,100,4,46.0,14.8,,1.0,1e-08,25,0.45,0.55,True,0.2,4,1.534218943603317e-05,0.0039169107005436275,30.023760413524226,,100.0
1079,100,3,71.3,25.2,,5.0,1e-06,120,0.60,0.45,True,68.9,3,nan,nan,12.625709836351154,,100.0
1104,100,4,23.6,24.2,,1.0,1e-08,25,0.60,0.45,True,0.2,4,1.491673473913037e-05,0.003862218888039668,29.561411772274216,,100.0
1071,100,3,67.5,40.0,,5.0,1e-06,80,center,center,True,89.2,3,nan,nan,10.784889361761575,,100.0
1106,100,4,27.0,29.5,,1.0,1e-08,50,center,center,True,0.2,4,1.533669951515742e-05,0.003916209840541926,23.421062671690116,,100.0
1107,100,4,15.9,40.3,,1.0,1e-08,50,0.35,0.45,True,0.2,4,1.534219683160508e-05,0.003916911644600256,29.198160890318846,,100.0
