run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,noise_detect_factor,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
3577,200,4,132.2,29.8,5.0,1e-06,50.0,120,0.35,0.45,True,141.6,3,0.00543745048990969,0.07373907030814594,12.332755372728107,
3580,200,4,132.2,29.8,5.0,1e-06,50.0,120,0.60,0.58,True,136.20000000000002,3,0.0046612094622094325,0.068273050775613,10.612723429578661,
3579,200,4,132.2,29.8,5.0,1e-06,50.0,120,0.60,0.45,True,147.5,3,0.0002834316994760772,0.016835429886880738,11.296230903696504,
3583,200,4,132.2,29.8,5.0,1e-06,100.0,25,0.45,0.55,True,164.3,3,nan,nan,2.6211847006965336,
3592,200,4,132.2,29.8,5.0,1e-06,100.0,80,0.35,0.45,True,156.70000000000002,3,nan,nan,0.6101364388586774,
3595,200,4,132.2,29.8,5.0,1e-06,100.0,80,0.60,0.58,True,153.8,3,nan,nan,5.71665894615431,
3591,200,4,132.2,29.8,5.0,1e-06,100.0,80,center,center,True,170.9,3,nan,nan,7.920320624374658,
3594,200,4,132.2,29.8,5.0,1e-06,100.0,80,0.60,0.45,True,159.9,3,nan,nan,1.8356182536036012,
3597,200,4,132.2,29.8,5.0,1e-06,100.0,120,0.35,0.45,True,141.4,3,nan,nan,12.81727835521928,
3598,200,4,132.2,29.8,5.0,1e-06,100.0,120,0.45,0.55,True,155.60000000000002,3,nan,nan,2.1091933375374716,
